FireFamily Plus Hourly Listing Report
Hourly Listing of Selected Values

FF+4.2 build 24.19 05/31/2018-13:00
   printed on: 05/31/2018   at  01:00:57 PM
   using database: K:\Tier3\Weather\Production\Missouri\Fort Leonard Wood\FortLeonardWood

------------------------------------------------------
Active Working Set:
   Station: 992903  - Roby                
   Data years:  2005 - 2006
   Analysis Period Length: 1 days
   Annual filter dates:  January 1  thru  December 31
------------------------------------------------------
Station Details:
   992903 Roby                   Fuel model: E   (Use 88?: N)

   Slope class: 2   Climate class: 2   Greenup: 04/15   Freeze: 12/31
   Start KBDI: 409  Start FM1000:21   Avg. Precip: 48.60
   FM1 = FM10?  N   Herb Annual?   N   Deciduous?  N
   Aspect:      0   Slope posit.:      Elevation: 1284
   Latitude:   38.00   Longitude: 0.00
   Weighed Stick Moistures Used:   Yes
   SOW:       Use SR_SOW if SOW is Missing
   WetFlag:   Use SR_WetFlag if WetFlag is Missing
------------------------------------------------------

DATE       Time  KBDI 
------------------------
01/01/2005 0600   412 
01/01/2005 1100   412 
01/02/2005 1000   412 
01/03/2005 0500   412 
01/03/2005 0700   412 
01/03/2005 0800   412 
01/03/2005 0900   412 
01/03/2005 1000   412 
01/03/2005 1200   412 
01/03/2005 1300   415 
01/03/2005 1400   415 
01/03/2005 1500   415 
01/03/2005 1600   415 
01/03/2005 1700   415 
01/03/2005 1800   415 
01/04/2005 0500   415 
01/04/2005 1300   415 
01/04/2005 1400   415 
01/04/2005 1500   415 
01/04/2005 1900   415 
01/04/2005 2000   415 
01/05/2005 0500   415 
01/05/2005 0700   415 
01/05/2005 1500   415 
01/06/2005 0500   415 
01/06/2005 0600   415 
01/06/2005 0700   415 
01/06/2005 0800   415 
01/06/2005 0900   415 
01/06/2005 1200   415 
01/06/2005 2000   415 
01/07/2005 0500   415 
01/07/2005 0600   415 
01/07/2005 0700   415 
01/07/2005 0800   415 
01/07/2005 1000   415 
01/07/2005 1100   415 
01/07/2005 1200   415 
01/07/2005 1700   415 
01/07/2005 1800   415 
01/08/2005 0600   415 
01/08/2005 1100   415 
01/08/2005 1300   415 
01/09/2005 1000   415 
01/09/2005 1100   415 
01/09/2005 1200   415 
01/09/2005 1400   415 
01/09/2005 1700   415 
01/10/2005 0500   415 
01/10/2005 0900   415 
01/10/2005 1000   415 
01/10/2005 1100   415 
01/10/2005 1200   415 
01/10/2005 1300   416 
01/10/2005 1600   416 
01/10/2005 1700   416 
01/11/2005 0500   416 
01/11/2005 0600   416 
01/11/2005 0700   416 
01/11/2005 0800   416 
01/11/2005 1000   416 
01/11/2005 1100   416 
01/11/2005 1200   416 
01/11/2005 1300   417 
01/11/2005 1400   417 
01/11/2005 1700   417 
01/11/2005 1800   417 
01/12/2005 0500   417 
01/12/2005 0700   417 
01/12/2005 0800   417 
01/12/2005 0900   417 
01/12/2005 1100   417 
01/12/2005 1200   417 
01/12/2005 1500   417 
01/12/2005 1700   417 
01/12/2005 1900   417 
01/12/2005 2000   417 
01/13/2005 0500   417 
01/13/2005 0700   417 
01/13/2005 0800   417 
01/13/2005 0900   417 
01/13/2005 1000   417 
01/13/2005 1300   420 
01/13/2005 1400   420 
01/13/2005 1500   420 
01/13/2005 1600   420 
01/13/2005 1700   420 
01/13/2005 1900   420 
01/14/2005 0500   420 
01/14/2005 0600   420 
01/14/2005 0700   420 
01/14/2005 0800   420 
01/14/2005 0900   420 
01/14/2005 1000   420 
